1.326563	2.912671	1
3.460599	4.758323	-1
9.141749	10.814371	2
11.016240	12.227449	-2
15.976431	17.620216	3
17.995114	19.062132	-3
22.522731	24.368383	4
24.570252	25.637269	-4
29.126707	31.203066	5
31.462611	32.471952	-5
36.393964	38.181940	6
38.354970	39.191281	-6
42.882587	44.699401	7
44.987784	47.583234	-7
50.841964	52.399234	8
52.543425	53.610443	-8
56.782659	58.685988	9
58.945533	59.983713	-9
63.184766	64.943904	10
65.116934	67.135617	-10
70.452024	72.066970	11
72.441868	73.566563	-11
76.796455	78.151856	12
78.353725	79.709126	-12
82.448766	83.919521	13
84.092551	85.246084	-13
87.870371	89.571832	14
89.744862	91.013749	-14
94.214802	95.685557	15
95.858587	97.185150	-15
99.751760	101.597413	16
101.597413	102.664431	-16
105.490587	107.307401	17
107.307401	108.576287	-17
111.488958	113.363449	18
113.363449	114.459305	-18
118.756216	122.591713	19
124.091305	130.464575	20
131.906491	135.626635	21
136.924359	140.788695	22
142.086419	147.536862	23
148.690395	152.554731	24
153.852455	159.014515	25
160.427593	166.454802	26
167.608335	174.269988	27
174.962108	179.518563	28
180.470228	185.286228	29
186.122539	190.707832	30
191.544144	196.014084	31
197.571353	201.695234	32
203.367856	209.481581	33
210.462084	215.105054	34
221.334132	223.929581	-19
225.227305	229.091641	-20
230.072144	232.263856	-21
233.042491	235.724455	-22
236.301222	239.761820	-23
240.482778	243.222419	-24
243.914539	246.308120	-25
247.086754	250.922251	-26
251.585533	255.219162	-27
256.055473	258.939305	-28
259.660263	262.544096	-29
263.293892	266.667976	-30
267.850347	270.388120	-31
271.368623	273.589174	-32
274.915737	279.270323	-33
279.731737	282.990467	-34
